word,count
reunion,49164
lounge,55905
firm,42780
tulsi,5422
fest,57432
argumentative,5054
pack,21007
thunder,11478
shelter,19605
cine,8112
spice,8799
seven,28550
destroy,7042
hypothyroidism,6405
humane,9796
bathroom,7103
legislation,27736
massive,7030
value,19195
revealed,6841
resistant,12373
reverse,10080
photographer,9256
jail,8836
silk,6391
professor,23632
dynamic,5755
syndicate,6714
flea,17216
eu,54963
fusion,7804
warrant,6199
side,85688
jerry,20071
amnesty,10408
humor,33037
armed,17005
luke,13045
poster,7748
cook,20200
position,6957
gear,17090
tall,5190
portrait,6187
honda,9221
bureaucracy,7851
electricity,6808
hole,10140
therapy,32685
advanced,18881
wave,10691
guy,38191
reduce,14577
physical,11079
trying,16683
emma,18948
judge,24696
myth,12169
watchdog,9459
gun,31128
satellite,6678
celebrate,11932
irony,12110
narcissism,46139
teens,9171
rolled,6361
dire,5536
fix,13937
stark,5150
waxman,7324
mass,22807
teen,12362
section,14739
circle,19051
motif,27929
mixed,12153
stone,29568
prefer,5450
passing,6785
graphics,7173
stumbling,9834
portfolio,8641
bucket,5887
login,21657
logic,56068
fancy,9284
theater,15014
probe,9591
mommy,16898
member,42971
tipping,5046
species,5007
mice,5883
field,32821
write,21803
clearing,5655
elite,33069
hope,33786
label,6418
prior,5074
agricultural,5125
rumor,6032
deluxe,5750
assistance,13567
tennis,7518
advance,10865
joke,9878
lemonade,5207
difference,56242
freeman,16859
propaganda,52543
play,38184
eclectic,10377
silence,53683
funk,8769
touch,18077
hive,5712
woolsey,5621
meet,96846
fishing,11514
fantastic,5367
danger,17159
main,28299
beach,35625
upcoming,10464
body,32732
comes,28875
polling,8947
turner,9364
rod,77247
assistant,6649
shock,9978
dodge,6635
resource,54923
join,67198
stupidity,8386
pundit,18562
prophet,7004
glossary,8378
image,15769
treasury,12189
acupuncture,7461
miscellany,6035
file,70657
phage,27416
minority,13377
alley,7584
streets,8844
sandy,19363
shop,67547
funds,16299
link,49998
campus,12935
plaid,5777
brook,9202
elsewhere,7805
goodman,6778
kelly,32479
punch,6725
lucky,14259
channel,24135
pickings,45900
cultural,20447
fly,22809
gen,6233
confidential,5942
documentary,11381
throw,5144
drudge,9301
patch,8609
connected,8758
emotional,52515
