Unnamed: 0,company_name,company_id,url,vertical,missing_vertical,vert_code,vert_desc,company_name_short,is_small_name
2408,BERTHOLD BAUER VAT CONSULTANTS LIMITED,04385276,http://www.bbvat.co.uk,69203 - Tax consultancy,0,69203.0,tax consultancy,berthold bauer vat consultants,0
2466,BGR BLOOMER LIMITED,07269696,http://www.bgrb.co.uk,69102 - Solicitors,0,69102.0,solicitors,bgr bloomer,0
2470,BHARGAV LIMITED,SC382954,http://www.bhargavbank.com.np,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,bhargav,0
2752,BODDY MATTHEWS LIMITED,08331531,http://www.boddymatthews.com,69102 - Solicitors,0,69102.0,solicitors,boddy matthews,0
2800,BOOKHAM CONSULTING ASSOCIATES LTD,04328307,http://www.bookhamconsulting.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,bookham consulting associates,0
2801,BOOKTEK LTD,08574655,http://www.booktek.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,booktek,0
2976,BRETT NICHOLLS ASSOCIATES LTD.,SC369651,http://www.brettnichollsassociates.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,brett nicholls associates .,0
3018,BRIGHT BROWN LIMITED,04849714,http://www.brightbrown.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,bright brown,0
3052,BRISAS LIMITED,02477471,http://www.gsllasbrisas.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,brisas,0
3096,BROADHOLME LTD,05102246,http://www.broadholme.org,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,broadholme,0
3137,BROOKSON LIMITED,03128631,http://www.brookson.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,brookson,0
3171,BRYWEL ASSOCIATES LIMITED,04320458,http://www.brywelassociates.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,brywel associates,0
3196,BUCKINGHAMSHIRE LAW PLUS LIMITED,08792177,http://www.buckslawplus.co.uk,69102 - Solicitors,0,69102.0,solicitors,buckinghamshire law plus,0
3230,BULPITT CROCKER TAXATION LTD,04751602,http://www.bulpittcrocker.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,bulpitt crocker taxation,0
3268,BURTON ACCOUNTANCY LTD,05933928,http://www.burton-accountancy.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,burton accountancy,0
3310,BVC ASSOCIATES LIMITED,07061599,http://www.bvc-vat.com,69203 - Tax consultancy,0,69203.0,tax consultancy,bvc associates,0
3473,CAMERON ALEXANDER ACCOUNTANTS LIMITED,06511514,http://www.cameron-alexander.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cameron alexander accountants,0
3474,CAMERON PARTNERSHIP LIMITED,06392394,http://www.cameronpartnership.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,cameron partnership,0
3478,CAMILLA BALDWIN LIMITED,07139625,http://www.camillabaldwin.com,69102 - Solicitors,0,69102.0,solicitors,camilla baldwin,0
3527,CAPELLA IP LIMITED,SC362964,http://www.capellaip.com,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,capella ip,0
3539,CAPITAL K LTD,08181728,http://www.capitalk.com.au,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,capital k,0
