pages_crawled,total_reward,terminal_states,nn_loss
249,27,60,0.001986615126952529
250,27,60,0.00016089747077785432
251,27,60,0.00796788465231657
252,27,60,0.002376325661316514
253,27,60,0.00016404717462137341
254,27,60,0.00016445553046651185
255,27,60,0.005637452006340027
256,27,60,0.0021398726385086775
257,27,60,0.00021444940648507327
258,27,60,0.00019123285892419517
259,27,60,0.0002866391441784799
260,27,60,1.7914255295181647e-05
261,27,60,0.0012898240238428116
262,27,60,0.0007599946693517268
263,27,60,0.003285533981397748
264,27,60,2.409962462479598e-06
265,27,60,0.0006467581260949373
266,27,60,0.00034464403870515525
267,27,60,0.002255495637655258
268,27,60,2.6017416985268937e-06
269,27,60,0.00014035202912054956
270,28,61,0.3088815212249756
271,28,61,0.00023099347890820354
272,28,61,0.0012871578801423311
273,28,61,0.00019665736181195825
274,29,62,0.34144943952560425
275,30,63,0.2910163998603821
276,30,64,0.004349762108176947
277,30,65,0.019356876611709595
278,30,65,0.000984709826298058
279,30,65,0.0031999556813389063
280,30,65,0.00028637732611969113
281,31,66,0.3344866931438446
282,31,66,0.0021577326115220785
283,31,66,1.4727150301041547e-05
284,31,66,0.00023306554066948593
285,31,66,0.0006064950721338391
286,31,66,0.0004645800800062716
287,31,66,0.00031803149613551795
288,32,67,0.28859367966651917
289,32,67,3.121641566394828e-05
290,32,67,7.222344720503315e-05
291,32,67,0.0005471741314977407
292,32,68,0.005826086737215519
293,32,69,0.009370679967105389
294,33,70,0.3939591646194458
295,33,70,0.0012060883454978466
296,33,70,5.955024789727759e-06
297,33,70,0.00040426041232421994
298,33,71,0.018057769164443016
299,33,71,0.0033012779895216227
300,33,71,0.010899693705141544
301,33,71,0.00047948851715773344
302,33,72,0.04812663793563843
303,34,73,0.42553767561912537
304,35,74,0.25898033380508423
305,35,74,0.0016693139914423227
306,35,74,1.4681897482660133e-05
307,35,74,1.8111288227373734e-05
308,35,74,0.002892924239858985
309,35,74,0.000561277789529413
310,35,74,7.161671078392828e-07
311,35,74,0.001108648837544024
312,35,74,0.0004298548446968198
313,35,74,0.00039822535472922027
314,35,74,0.00034356003743596375
315,35,74,0.0003544605860952288
316,35,74,0.0005090228514745831
317,35,74,0.0003494976554065943
318,35,74,0.00035322061739861965
319,35,74,0.00035270911757834256
320,35,74,2.8612453206733335e-06
321,35,74,0.0010787356877699494
322,35,74,0.0007515503093600273
323,35,74,4.215000899421284e-06
324,35,74,0.0009974915301427245
325,35,75,0.03408954665064812
326,35,75,0.0016244539292529225
327,35,75,0.00029929023003205657
328,36,76,0.27426156401634216
329,36,76,0.00010077781917061657
330,36,76,0.004271185025572777
331,36,76,0.0033603531774133444
332,36,77,0.01019976194947958
333,36,77,4.6191635192371905e-05
334,36,77,0.002740398980677128
335,36,77,0.00781842228025198
336,36,77,0.0012935139238834381
337,36,78,0.041118185967206955
338,37,79,0.3104328215122223
339,37,79,0.0013163031544536352
340,37,79,0.00045836728531867266
341,37,79,0.0009076183196157217
342,37,79,0.0022610186133533716
343,38,80,0.26863211393356323
344,38,80,0.0011347505496814847
345,39,81,0.32983118295669556
346,39,81,8.615670230938122e-05
347,39,81,0.0004105150292161852
348,39,81,0.0008331697317771614
349,39,81,0.0006256040651351213
350,39,82,0.0356251560151577
351,39,82,0.0020734104327857494
352,39,82,0.0008895360515452921
353,39,82,0.005448399111628532
354,39,82,0.00042535076499916613
355,39,82,0.00038710114313289523
356,39,82,0.00026436365442350507
357,39,82,0.00039423780981451273
