pages_crawled,total_reward,terminal_states
828,56,102
829,56,102
830,56,102
831,56,102
832,56,102
833,56,102
834,56,103
835,56,103
836,56,103
837,56,103
838,56,103
839,56,103
840,57,103
841,57,103
842,57,103
843,57,103
844,57,103
845,57,103
846,57,103
847,57,103
848,57,103
849,57,103
850,57,103
851,57,103
852,57,104
853,57,104
854,57,104
855,57,104
856,57,104
857,57,104
858,57,104
859,57,104
860,57,104
861,57,105
862,57,105
863,57,105
864,57,105
865,58,105
866,58,105
867,58,105
868,58,105
869,58,105
870,59,105
871,60,105
872,61,105
873,61,105
874,61,105
875,61,105
876,61,105
877,61,105
878,61,105
879,61,105
880,61,105
881,62,105
882,63,105
883,63,105
884,63,105
885,63,106
886,63,107
887,63,107
888,63,107
889,63,107
890,63,107
891,63,107
892,63,108
893,63,108
894,63,108
895,63,108
896,63,108
897,63,108
898,63,109
899,63,109
900,63,109
901,63,109
902,63,109
903,63,109
904,63,109
905,63,110
906,63,110
907,64,110
908,64,110
909,64,110
910,64,111
911,65,111
912,66,111
913,66,112
914,67,112
915,67,112
916,67,112
917,67,112
918,67,112
919,67,112
920,67,113
921,67,113
922,67,113
923,67,114
924,67,114
925,67,114
926,67,114
927,67,114
928,67,114
929,67,114
930,67,114
931,67,114
932,67,114
933,67,114
934,67,114
935,67,114
936,67,114
937,67,114
938,67,114
939,67,115
940,67,116
941,67,116
942,67,116
943,67,116
944,67,116
945,67,116
946,67,116
947,67,116
948,67,116
949,67,116
950,67,116
951,67,116
952,67,116
953,67,116
954,67,116
955,67,116
956,67,116
957,67,116
958,67,117
959,68,117
960,68,117
961,68,117
962,68,117
963,68,117
964,68,117
965,68,117
966,68,118
967,68,118
968,68,118
969,68,118
970,68,118
971,68,118
972,68,118
973,68,119
974,69,119
975,69,119
976,69,119
977,69,119
978,70,119
979,70,120
980,71,120
981,71,121
982,71,121
983,71,121
984,71,121
985,71,121
986,71,122
987,71,122
988,71,122
989,71,122
990,71,122
991,72,122
992,72,122
993,72,122
994,72,122
995,72,122
996,72,122
997,72,123
998,73,123
999,73,123
1000,73,123
1001,73,123
1002,73,123
1003,73,123
1004,73,123
1005,73,123
1006,73,123
1007,73,123
1008,73,123
1009,73,124
1010,73,124
1011,73,124
1012,73,124
1013,73,124
1014,73,124
1015,73,125
1016,73,125
1017,73,125
1018,73,126
1019,74,126
1020,74,126
1021,74,126
1022,74,126
1023,74,126
1024,74,126
1025,74,126
1026,75,126
1027,75,126
1028,75,126
1029,75,126
1030,75,126
1031,75,126
1032,75,126
1033,75,126
1034,75,127
1035,76,127
1036,76,127
1037,76,127
1038,76,127
1039,76,127
1040,76,127
1041,76,127
1042,76,127
1043,76,127
1044,76,127
1045,76,127
1046,76,127
1047,76,127
1048,76,127
1049,76,127
1050,77,127
1051,77,127
1052,77,127
1053,77,127
1054,77,127
1055,77,127
1056,77,127
1057,77,128
1058,78,128
1059,78,128
1060,78,128
1061,78,128
1062,78,128
1063,78,128
1064,78,128
1065,78,128
1066,78,128
1067,78,128
1068,78,129
1069,78,129
1070,78,129
1071,78,130
1072,78,130
1073,78,130
1074,78,131
1075,78,131
1076,78,131
1077,78,131
1078,78,131
1079,78,131
1080,78,131
1081,78,131
1082,78,131
1083,78,131
1084,78,131
1085,78,132
1086,78,132
1087,78,132
1088,78,132
1089,78,133
1090,78,134
1091,78,134
1092,78,134
1093,78,134
1094,78,134
1095,78,134
1096,78,135
1097,78,135
1098,78,135
1099,78,135
1100,78,136
1101,79,136
1102,80,136
1103,80,136
1104,80,136
1105,80,136
1106,80,136
1107,80,136
1108,80,136
1109,80,136
1110,80,136
1111,80,136
1112,80,136
1113,80,136
1114,80,136
1115,80,136
1116,80,136
1117,80,136
1118,80,136
1119,80,136
1120,80,136
1121,80,136
1122,80,136
1123,80,136
1124,80,136
1125,80,136
1126,80,136
1127,80,136
1128,80,136
1129,80,136
1130,80,136
1131,80,136
1132,80,136
1133,80,136
1134,80,137
1135,80,137
1136,80,137
1137,80,137
1138,80,137
1139,80,137
1140,80,137
1141,80,137
1142,80,137
1143,80,137
1144,80,137
1145,81,137
1146,81,137
1147,81,137
1148,81,137
1149,81,137
1150,81,137
1151,81,137
1152,81,137
1153,81,137
1154,81,138
1155,81,139
1156,81,139
1157,81,139
1158,81,140
1159,82,140
1160,82,141
1161,82,141
1162,82,141
1163,82,141
1164,82,141
1165,82,141
1166,82,141
1167,82,141
1168,82,141
1169,82,141
1170,82,142
1171,83,142
1172,83,142
1173,83,142
1174,83,142
1175,83,142
1176,83,143
1177,83,144
1178,83,144
1179,83,144
1180,83,144
1181,83,145
1182,83,145
1183,84,145
1184,84,145
1185,84,145
1186,84,146
1187,85,146
1188,85,146
1189,85,147
1190,85,147
1191,85,147
1192,85,148
1193,85,149
1194,85,149
1195,85,149
1196,85,149
1197,85,149
1198,85,149
1199,85,149
1200,85,149
1201,85,149
1202,85,149
1203,85,149
1204,85,149
1205,85,149
1206,85,149
1207,85,149
1208,85,149
1209,85,149
1210,85,149
1211,85,149
1212,85,149
1213,85,149
1214,85,150
1215,85,151
1216,85,151
1217,85,151
1218,85,151
1219,85,151
1220,85,152
1221,85,152
1222,85,152
1223,85,152
1224,85,152
1225,85,152
1226,85,152
1227,85,153
1228,86,153
1229,86,153
1230,86,153
1231,86,153
1232,86,153
1233,86,153
1234,86,153
1235,86,153
1236,86,153
1237,86,153
1238,86,154
1239,87,154
1240,87,155
1241,88,155
1242,89,155
1243,90,155
1244,90,155
1245,90,155
1246,91,155
1247,92,155
1248,92,156
1249,92,157
1250,92,157
1251,93,157
1252,93,157
1253,93,157
1254,93,157
1255,93,157
1256,93,157
1257,93,157
1258,93,157
1259,93,157
1260,93,157
1261,93,157
1262,93,157
1263,93,157
1264,93,157
1265,93,157
1266,93,157
1267,93,157
1268,93,157
1269,93,157
1270,93,157
1271,93,157
1272,93,157
1273,93,157
1274,93,157
1275,93,157
1276,93,157
1277,93,157
1278,93,157
1279,93,157
1280,93,157
1281,93,157
1282,93,157
1283,93,157
1284,93,157
1285,93,157
1286,93,157
1287,93,157
1288,93,157
1289,93,157
1290,93,157
1291,93,157
1292,93,157
1293,93,158
1294,93,158
1295,93,158
1296,93,159
1297,93,160
1298,93,160
1299,93,160
1300,93,161
1301,93,161
1302,93,161
1303,93,161
1304,93,161
1305,93,161
1306,93,162
1307,93,162
1308,93,162
1309,93,162
1310,93,162
1311,93,162
1312,93,163
1313,94,163
1314,94,163
1315,94,163
1316,94,163
1317,94,163
1318,94,163
1319,94,163
1320,94,163
1321,94,163
1322,94,163
1323,94,163
1324,94,164
1325,94,164
1326,94,164
1327,94,164
1328,94,164
1329,94,164
1330,94,164
1331,94,164
1332,94,164
1333,94,164
1334,94,164
1335,94,164
1336,94,164
1337,94,165
1338,94,165
1339,94,165
1340,94,165
1341,94,165
1342,94,165
1343,94,165
1344,94,165
1345,94,165
1346,94,166
1347,95,166
1348,96,166
1349,96,166
1350,96,166
1351,96,167
1352,96,167
1353,96,167
1354,96,167
1355,96,167
1356,96,167
1357,96,168
1358,96,168
1359,96,168
1360,96,168
1361,96,168
1362,96,168
1363,96,168
1364,96,168
1365,96,168
1366,96,168
1367,96,168
1368,96,168
1369,96,168
1370,96,168
1371,96,168
1372,96,168
1373,96,169
1374,96,170
1375,96,170
1376,96,170
1377,96,170
1378,96,170
1379,96,170
1380,96,170
1381,96,170
1382,96,170
1383,96,170
1384,96,170
1385,96,170
1386,96,171
1387,96,171
1388,96,171
1389,96,171
1390,96,171
1391,96,171
1392,96,171
1393,96,171
1394,96,171
1395,96,171
1396,96,171
1397,96,171
1398,96,171
1399,96,171
1400,96,171
1401,96,171
1402,96,171
1403,96,171
1404,96,171
1405,96,171
1406,96,171
1407,96,171
1408,96,171
1409,96,171
1410,96,171
1411,96,171
1412,96,171
1413,96,171
1414,96,171
1415,96,171
1416,96,171
1417,96,171
1418,96,171
1419,96,171
1420,96,171
1421,96,171
1422,96,171
1423,96,171
1424,96,171
1425,96,171
1426,96,171
1427,96,171
1428,96,171
1429,96,171
1430,96,171
1431,96,171
1432,96,171
1433,96,171
1434,96,171
1435,96,171
1436,96,171
1437,96,171
1438,96,171
1439,96,171
1440,96,171
1441,96,171
1442,96,171
1443,96,171
1444,96,171
1445,96,171
1446,96,171
1447,96,171
1448,96,171
1449,96,172
1450,96,172
1451,97,172
1452,97,172
1453,97,172
1454,97,172
1455,97,172
1456,97,172
1457,97,172
1458,97,172
1459,97,172
1460,97,172
1461,97,172
1462,97,172
1463,97,172
1464,97,172
1465,97,172
1466,97,172
1467,97,172
1468,97,172
1469,97,172
1470,97,172
1471,97,172
1472,97,172
1473,97,172
1474,97,172
1475,97,172
1476,97,173
1477,97,173
1478,97,173
1479,97,173
1480,97,173
1481,97,174
1482,97,174
1483,98,174
1484,98,174
1485,98,174
1486,98,174
1487,98,174
1488,98,174
1489,98,174
1490,98,174
1491,98,174
1492,98,174
1493,98,174
1494,98,175
1495,98,175
1496,99,175
1497,99,175
1498,99,175
1499,99,175
1500,99,175
1501,99,175
1502,99,175
1503,99,176
1504,100,176
1505,100,176
1506,100,176
1507,101,176
1508,102,176
1509,102,177
1510,102,177
1511,102,177
1512,102,177
1513,102,177
1514,102,177
1515,102,177
1516,102,178
1517,102,178
1518,102,178
1519,102,178
1520,102,178
1521,102,178
1522,102,178
1523,102,178
1524,102,178
1525,102,178
1526,102,179
1527,102,179
1528,102,179
1529,102,179
1530,102,179
1531,102,179
1532,102,179
1533,102,179
1534,102,179
1535,102,179
1536,102,179
1537,102,179
1538,102,179
1539,102,180
1540,102,180
1541,102,180
1542,102,180
1543,102,180
1544,102,180
1545,102,180
1546,102,181
1547,102,181
1548,102,181
1549,102,182
1550,102,182
1551,102,182
1552,102,182
1553,102,182
1554,102,182
1555,102,182
1556,102,182
1557,102,182
1558,102,182
1559,102,182
1560,102,183
1561,102,183
1562,102,183
1563,102,184
1564,102,184
1565,102,185
1566,102,185
1567,102,185
1568,102,185
1569,102,185
1570,102,185
1571,102,185
1572,102,185
1573,102,185
1574,102,185
1575,102,185
1576,102,186
1577,103,186
1578,103,187
1579,104,187
1580,105,187
1581,105,187
1582,105,187
1583,105,187
1584,105,187
1585,105,187
1586,105,187
1587,105,187
1588,105,187
1589,105,188
1590,105,188
1591,105,188
1592,105,188
1593,106,188
1594,106,188
1595,106,188
1596,106,189
1597,106,189
1598,106,189
1599,106,189
1600,106,190
1601,106,191
1602,106,191
1603,106,191
1604,106,192
1605,106,192
1606,106,192
1607,106,192
1608,106,192
1609,106,192
1610,106,192
1611,106,192
1612,106,192
1613,107,192
1614,107,192
1615,107,192
1616,107,192
1617,107,192
1618,107,192
1619,107,192
1620,107,192
1621,107,192
1622,107,193
1623,107,193
1624,107,193
1625,107,194
1626,107,194
1627,107,194
1628,107,195
1629,107,195
1630,107,195
1631,107,196
1632,108,196
1633,109,196
1634,109,196
1635,109,196
1636,109,196
1637,109,196
1638,109,196
1639,109,196
1640,109,196
1641,109,196
1642,109,196
1643,109,196
1644,109,196
1645,109,196
1646,109,196
1647,109,197
1648,109,197
1649,110,197
1650,110,197
1651,110,197
1652,110,197
1653,110,197
1654,110,197
1655,110,198
1656,111,198
1657,111,198
1658,111,198
1659,111,199
1660,111,199
1661,111,199
